2025-06-15T23:37:55: <s> [webpack.Progress] 0% compiling
2025-06-15T23:37:55: <s> [webpack.Progress] 10% building 0/0 modules 0 active 
2025-06-15T23:37:55: <s> [webpack.Progress] 10% building 0/1 modules 1 active multi /home/ui/node_modules/webpack-dev-server/client/index.js?http://10.3.242.4:8093/sockjs-node /home/ui/node_modules/webpack/hot/dev-server.js ./src/main.js
2025-06-15T23:37:55: <s> [webpack.Progress] 10% building 1/1 modules 0 active 
2025-06-15T23:37:55: <s> [webpack.Progress] 10% building 1/1 modules 0 active 
2025-06-15T23:37:55: <s> [webpack.Progress] 10% building 1/2 modules 1 active multi /home/ui/node_modules/webpack/hot/dev-server.js /home/ui/node_modules/webpack-dev-server/client/index.js?http://10.3.242.4:8093/sockjs-node ./src/main.js
2025-06-15T23:37:55: <s> [webpack.Progress] 10% building 2/2 modules 0 active 
2025-06-15T23:37:55: <s> [webpack.Progress] 10% building 2/3 modules 1 active /home/ui/node_modules/cache-loader/dist/cjs.js??ref--12-0!/home/ui/node_modules/babel-loader/lib/index.js!/home/ui/node_modules/eslint-loader/index.js??ref--13-0!/home/ui/src/main.js
2025-06-15T23:37:55: <s> [webpack.Progress] 10% building 2/4 modules 2 active /home/ui/node_modules/webpack-dev-server/client/index.js?http://10.3.242.4:8093/sockjs-node
2025-06-15T23:37:55: <s> [webpack.Progress] 10% building 2/5 modules 3 active /home/ui/node_modules/webpack/hot/dev-server.js
2025-06-15T23:37:55: <s> [webpack.Progress] 10% building 3/5 modules 2 active /home/ui/node_modules/webpack/hot/dev-server.js
2025-06-15T23:37:55: <s> [webpack.Progress] 10% building 4/5 modules 1 active /home/ui/node_modules/cache-loader/dist/cjs.js??ref--12-0!/home/ui/node_modules/babel-loader/lib/index.js!/home/ui/node_modules/eslint-loader/index.js??ref--13-0!/home/ui/src/main.js
2025-06-15T23:37:55: <s> [webpack.Progress] 10% building 5/5 modules 0 active 
2025-06-15T23:37:55: <s> [webpack.Progress] 40% building 5/5 modules 0 active 
2025-06-15T23:37:55: <s> [webpack.Progress] 40% building 5/6 modules 1 active /home/ui/node_modules/webpack/hot sync nonrecursive /^\.\/log$/
2025-06-15T23:37:55: <s> [webpack.Progress] 40% building 6/6 modules 0 active 
2025-06-15T23:37:55: <s> [webpack.Progress] 40% building 6/7 modules 1 active /home/ui/node_modules/webpack/hot/log.js
2025-06-15T23:37:55: <s> [webpack.Progress] 40% building 6/8 modules 2 active /home/ui/node_modules/webpack/hot/log-apply-result.js
2025-06-15T23:37:55: <s> [webpack.Progress] 40% building 6/9 modules 3 active /home/ui/node_modules/webpack/hot/emitter.js
